순번,시도본부,소방서,119안전센터명,주소,전화번호,geometry
226,대구,강서,대천119안전센터,대구광역시 달서구 달서대로58길 129,053-601-5650,[128.506745953201 35.8249532512934]
227,대구,강서,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5660,[128.454198592999 35.861159614124]
228,인천,중부,중앙119안전센터,인천광역시 중구 인중로 204,032-870-5180,[126.622340066185 37.4701498156144]
229,인천,중부,송현119안전센터,인천광역시 동구 방축로 39,032-576-0119,[126.650986121906 37.4863115582023]
230,인천,중부,송림119안전센터,인천광역시 동구 샛골로 133,032-764-7119,[126.644083568743 37.4743116594514]
231,인천,중부,만석119안전센터,인천광역시 동구 제물량로 396,032-766-0119,[126.625813427573 37.4833974347001]
233,인천,중부,백령119안전센터,인천광역시 옹진군 백령면 백령남로 30,032-836-0119,[124.717686291899 37.967449896222]
234,인천,남동,구월119안전센터,인천광역시 남동구 인주대로 714,032-870-5221,[126.716891927554 37.4488805965133]
235,인천,남동,만수119안전센터,인천광역시 남동구 백범로 207,032-870-5222,[126.725854254857 37.4596249202579]
236,인천,남동,간석119안전센터,인천광역시 남동구 경인로 621,032-870-5223,[126.706372842588 37.4658256257215]
237,인천,남동,담방119안전센터,인천광역시 남동구 매소홀로 1044,032-870-5224,[126.739022151538 37.4393349446136]
238,인천,남동,서창119안전센터,인천광역시 남동구 서창방산로 61,032-870-5259,[126.751573194387 37.4226790774815]
239,인천,부평,갈산119안전센터,인천광역시 부평구 부평대로 324,032-723-5353,[126.722149279371 37.5202257852865]
240,인천,부평,부평119안전센터,인천광역시 부평구 부평대로 8,032-723-5354,[126.723440329378 37.4921697074499]
241,인천,부평,십정119안전센터,인천광역시 부평구 경원대로 1111,032-723-5355,[126.697246324424 37.4803070054783]
242,인천,부평,산곡119안전센터,인천광역시 부평구 마장로 198,032-723-5356,[126.703096556192 37.4957144367975]
243,인천,부평,부개119안전센터,인천광역시 부평구 부개로 6,032-723-5357,[126.739692385025 37.4978732318612]
244,인천,부평,삼산119안전센터,인천광역시 부평구 충선로 252,032-723-5358,[126.736067921195 37.5117671238055]
245,인천,서부,연희119안전센터,인천광역시 서구 서곶로292,032-723-5421,[126.677248182913 37.5433891634204]
246,인천,서부,가좌119안전센터,인천광역시 서구 백범로678번길 17,032-578-0119,[126.682607582309 37.4822906248163]
247,인천,서부,신현119안전센터,인천광역시 서구 가정로 333-1,032-572-0119,[126.672511011103 37.5147325881069]
248,인천,서부,석남119안전센터,인천광역시 서구 석남로102,032-571-0119,[126.672967800046 37.5005927312449]
249,인천,서부,검단119안전센터,인천광역시 서구 완정로 191,032-565-0119,[126.655133030614 37.602645173654]
251,인천,서부,검암119안전센터,인천광역시 서구 승학로 474,032-568-7119,[126.673594392091 37.5640759460826]
252,인천,서부,원당119안전센터,인천광역시 서구 원당대로 881,032-563-1195,[126.699661235414 37.5937816073867]
253,인천,서부,청라119안전센터,인천광역시 서구 청라한내로 77 ,032-569-5026,[126.627127676255 37.5321723566538]
254,인천,서부,원창119안전센터,인천광역시 서구 북항로32번길 47-5,032-577-0119,[126.644700629048 37.5105177892804]
255,인천,공단,고잔119안전센터,인천광역시 남동구 남동서로 208,032-723-5521,[126.693000037004 37.4081755045764]
257,인천,공단,도림119안전센터,인천광역시 남동구 비류대로 667,032-814-2119,[126.709113344636 37.4226793545092]
258,인천,공단,동춘119안전센터,인천광역시 연수구 앵고개로 241,032-813-2119,[126.671288972739 37.4091495210335]
259,인천,공단,논현119안전센터,인천광역시 남동구 소래역로 109,032-439-2119,[126.729675738644 37.4053359288932]
260,인천,공단,소래119안전센터,인천광역시 남동구 에코중앙로 86,032-432-0440,[126.720720286771 37.3864068663598]
261,인천,계양,작전119안전센터,인천광역시 계양구 장제로 774,032-650-5621,[126.734917972563 37.537054263815]
263,인천,계양,장기119안전센터,인천광역시 계양구 장기서로 14,032-515-6119,[126.733690329638 37.5763339796147]
264,인천,계양,효성119안전센터,인천광역시 계양구 효서로 96-1,032-541-0119,[126.706489933391 37.5275762841482]
265,인천,미추홀,신기119안전센터,인천광역시 미추홀구 인하로 190,032-870-3295,[126.669004448977 37.4484000155529]
266,인천,미추홀,주안119안전센터,인천광역시 미추홀구 한나루로 607,032-870-3452,[126.672270959541 37.460463810933]
267,인천,미추홀,도화119안전센터,인천광역시 미추홀구 장고개로 85,032-870-3453,[126.669304839088 37.4754500177007]
268,인천,미추홀,용현119안전센터,인천광역시 미추홀구 독배로 376,032-887-3454,[126.648575780992 37.4533880406862]
269,인천,미추홀,관교119안전센터,인천광역시 미추홀구 인하로 450,032-870-3455,[126.696590337942 37.4443091294376]
270,인천,미추홀,숭의119안전센터,인천광역시 미추홀구 석정로 51,032-870-3456,[126.643508202679 37.4655868339819]
271,인천,강화,불은119안전센터,인천광역시 강화군 불은면 중앙로 505,032-930-5811,[126.458337525047 37.712068398832]
272,인천,강화,강화119안전센터,인천광역시 강화군 강화읍 남문로23번길 11,032-930-5894,[126.487454831449 37.7396723408858]
273,인천,강화,길상119안전센터,인천광역시 강화군 길상면 마니산로 93,032-930-5822,[126.482567892195 37.6383381483064]
274,인천,강화,내가119안전센터,인천광역시 강화군 내가면 강화서로 235-1,032-930-5823,[126.390106700614 37.7175112457322]
275,인천,영종,공항119안전센터,인천광역시 중구 제2터미널대로 268 ,032-727-6180,[126.414707320002 37.4859886253755]
276,인천,영종,운서119안전센터,인천광역시 중구 흰바위로27번길 16,032-727-6182,[126.488414963111 37.493719510686]
277,인천,영종,운남119안전센터,인천광역시 중구 운남로 116,032-727-6181,[126.53330556623 37.488045907059]
278,인천,영종,용유119안전센터,인천광역시 중구 용유서로128번길 1,032-727-6183,[126.393957636148 37.4485444022982]
279,인천,송도,미래119안전센터,인천광역시 연수구 첨단대로 60번길 15,032-810-6660,[126.651588040332 37.3672280788106]
280,인천,송도,신송119안전센터,인천광역시 연수구 해돋이로 92,032-810-6683,[126.65189340908 37.3909227454514]
281,인천,송도,영흥119안전센터,인천광역시 영흥면 영흥로 283-32,032-810-6692,[126.483902564782 37.2564354715708]
282,인천,송도,국제119안전센터,인천광역시 연수구 센트럴로 412,032-831-6119,[126.6287822744 37.4102286285073]
283,광주,동부,대인119안전센터,광주광역시 동구 제봉로 210(대인동),062-606-4203,[126.914804784324 35.1544942942489]
284,광주,동부,용산119안전센터,광주광역시 동구 남문로 535(용산동),062-606-4403,[126.933035960262 35.1187559760266]
285,광주,동부,지산119안전센터,광주광역시 동구 밤실로30번길 16(지산동),062-606-4423,[126.938544457704 35.1499586827579]
286,광주,서부,화정119안전센터,광주광역시 서구 화운로 197(화정동),062-606-4255,[126.876225371873 35.1566943238505]
287,광주,서부,염주119안전센터,광주광역시 서구 염화로 77(화정동),062-606-4507,[126.873826825466 35.1415567447599]
288,광주,서부,금호119안전센터,광주광역시 서구 운천로 112(쌍촌동),062-606-4525,[126.858291647224 35.142713056313]
289,광주,서부,상무119안전센터,광주광역시 서구 치평로 65(치평동),062-606-4543,[126.847090991607 35.1532734790409]
290,광주,서부,풍암119안전센터,광주광역시 서구 회재로 907(금호동),062-606-4564,[126.862675176889 35.1237043065474]
291,광주,남부,송하119안전센터,광주광역시 남구 송암로58번길 13(송하동),062-606-4303,[126.878340652978 35.1105075675122]
292,광주,남부,월산119안전센터,광주광역시 남구 수박등로 1(월산동),062-606-4603,[126.894676110442 35.1406130131608]
293,광주,남부,봉선119안전센터,광주광역시 남구 오방로 63(방림동),062-606-4623,[126.918986688343 35.1310206509394]
294,광주,북부,문흥119안전센터,광주광역시 북구 서하로 290(오치동),062-606-4353,[126.912007146738 35.186288409879]
295,광주,북부,임동119안전센터,광주광역시 북구 서림로 5(임동),062-606-4703,[126.890709077159 35.1688675829341]
296,광주,북부,우산119안전센터,광주광역시 북구 동문대로 127(우산동),062-606-4723,[126.925875872643 35.1744981260011]
297,광주,북부,일곡119안전센터,광주광역시 북구 설죽로 529(일곡동),062-606-4743,[126.897301992454 35.206335469492]
298,광주,북부,두암119안전센터,광주광역시 북구 삼정로 5(두암동),062-606-4763,[126.936820863847 35.1623968350747]
299,광주,북부,동림119안전센터,광주광역시 북구 북문대로 202(동림동),062-606-4783,[126.87029106156 35.1864715696746]
300,광주,광산,하남119안전센터,광주광역시 광산구 하남산단1번로 13(하남동),062-606-4903,[126.79656403261 35.1860355882358]
301,광주,광산,송정119안전센터,광주광역시 광산구 상무대로 93-1(도산동),062-606-4803,[126.785494369408 35.1291275580212]
302,광주,광산,월곡119안전센터,광주광역시 광산구 우산로 85번길 12-5(우산동),062-606-4828,[126.809972323255 35.1573786468173]
303,광주,광산,비아119안전센터,광주광역시 광산구 비아로12번길 10(비아동),062-606-4843,[126.82361254924 35.2207615646222]
304,광주,광산,신가119안전센터,광주광역시 광산구 수등로 236(신가동),062-606-4863,[126.834783972802 35.184899640916]
305,광주,광산,첨단119안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),062-606-4883,[126.84916639493 35.2187761746166]
306,광주,광산,평동119안전센터,광주광역시 광산구 월전로 59(월전동),062-606-4953,[126.773988762627 35.1243451127666]
307,대전,동부,가양119안전센터,대전광역시 동구 계족로 300,042-270-1221,[127.437600229189 36.3391599639671]
308,대전,동부,삼성119안전센터,대전광역시 동구 태전로 134,042-270-1231,[127.421960711264 36.3403249222378]
309,대전,동부,원동119안전센터,대전광역시 동구 대전천동로 508,042-270-1241,[127.432905315097 36.326992084421]
310,대전,동부,부사119안전센터,대전광역시 중구 대종로 373,042-270-1251,[127.428013823451 36.3173370007388]
311,대전,동부,산내119안전센터,대전광역시 동구 산내로 1328,042-270-1261,[127.467490677944 36.2819026369734]
312,대전,동부,용운119안전센터,대전광역시 동구 용운로 151번길 88,042-270-1271,[127.461790301749 36.3312891024176]
313,대전,둔산,갈마119안전센터,대전광역시 서구 갈마중로 15,042-270-1804,[127.371118455166 36.3479047129403]
314,대전,둔산,태평119안전센터,대전광역시 중구 동서대로 1235,042-270-1811,[127.396867216983 36.3266485633435]
315,대전,둔산,탄방119안전센터,대전광역시 서구 문정로 142,042-270-1821,[127.395267393678 36.3468208437512]
316,대전,둔산,월평119안전센터,대전광역시 서구 청사로 27,042-270-1831,[127.366880883004 36.3600075991843]
317,대전,둔산,샘머리119안전센터,대전광역시 서구 둔산로 101번길 26,042-270-1841,[127.385574503517 36.3525365819119]
318,대전,대덕,법동119안전센터,대전광역시 대덕구 계족로 682,042-270-1851,[127.42900736273 36.3723950007851]
319,대전,대덕,대화119안전센터,대전광역시 대덕구 대화로 81,042-270-1861,[127.410867457441 36.3669067389335]
320,대전,대덕,덕암119안전센터,대전광역시 대덕구 신탄진로 661,042-270-1871,[127.425650925499 36.4372837868107]
321,대전,대덕,문평119안전센터,대전광역시 대덕구 문평동로 18번길 34,042-270-1881,[127.404715940285 36.4469173628791]
322,대전,대덕,송촌119안전센터,대전광역시 대덕구 동춘당로 65,042-270-1891,[127.441960030546 36.363480000202]
323,대전,유성,도룡119안전센터,대전광역시 유성구 대덕대로 516,042-270-1903,[127.378851656093 36.3791959389675]
324,대전,유성,전민119안전센터,대전광역시 유성구 엑스포로 486-11,042-270-1912,[127.405981347732 36.3993172309193]
325,대전,유성,구암119안전센터,대전광역시 유성구 월드컵대로 263,042-270-1922,[127.329243104933 36.34892634766]
326,대전,유성,궁동119안전센터,대전광역시 유성구 궁동로 35,042-270-1931,[127.348708433962 36.363665992206]
327,대전,유성,노은119안전센터,대전광역시 유성구 노은로 101,042-270-1942,[127.31742731886 36.3686893756932]
328,대전,서부,복수119안전센터,대전광역시 서구 복수서로 67,042-270-1952,[127.372352374366 36.3093408889406]
329,대전,서부,문화119안전센터,대전광역시 중구 계룡로 918번길 67,042-270-1961,[127.411273335978 36.3193169015427]
330,대전,서부,산성119안전센터,대전광역시 중구 산성로 59,042-270-1971,[127.39500742182 36.3077276116695]
331,대전,서부,가수원119안전센터,대전광역시 서구 용소로 46,042-270-1981,[127.352688240847 36.3090655488135]
332,대전,서부,원내119안전센터,대전광역시 유성구 계백로 801번길 17,042-270-1991,[127.31888406396 36.2918952479765]
333,울산,중부,유곡119안전센터,울산광역시 중구 종가로 205,052-241-2409,[129.299310395371 35.5629507922677]
335,울산,중부,병영119안전센터,울산광역시 중구 구교로 226,052-241-2441,[129.342468653545 35.5645763519744]
336,울산,중부,태화119안전센터,울산광역시 중구 태화로 111,052-241-2531,[129.287964702283 35.5533900069999]
337,울산,남부,삼산119안전센터,울산광역시 남구 삼산중로 149,052-241-2580,[129.335437832909 35.5471316012368]
338,울산,남부,여천119안전센터,울산광역시 남구 여천로 81-33,052-241-2610,[129.341332848279 35.5253045346698]
339,울산,남부,신정119안전센터,울산광역시 남구 신정로 87번길 2,052-241-2630,[129.31959829925 35.5393680452438]
340,울산,남부,장생포119안전센터,울산광역시 남구 매암로 18,052-241-2560,[129.377417955259 35.5115616005605]
341,울산,남부,무거119안전센터,울산광역시 남구 문수로 89,052-241-2650,[129.26368361739 35.5389151580809]
342,울산,남부,공단119안전센터,울산광역시 남구 사평로 161,052-241-2670,[129.328188217345 35.5026521102749]
343,울산,남부,옥동119안전센터,울산광역시 남구 대공원입구로21번길 20,052-241-2690,[129.292187472633 35.5343323997831]
344,울산,동부,화암119안전센터,울산광역시 동구 꽃바위2가길 9,052-241-2720,[129.412592596677 35.4823516808126]
345,울산,동부,화정119안전센터,울산광역시 동구 방어진순환도로 601,052-241-2740,[129.426997376175 35.4955109497418]
346,울산,동부,전하119안전센터,울산광역시 동구 진성4가길 8,052-241-2760,[129.429083383624 35.509335725768]
347,울산,온산,송정119안전센터,울산광역시 북구 화동로 178,052-229-8200,[129.370124250994 35.6067847290472]
348,울산,온산,농소119안전센터,울산광역시 북구 아진로 72,052-229-8240,[129.340768875551 35.6299539700581]
349,울산,온산,매곡119안전센터,울산광역시 북구 오토밸리로 1024,052-229-8260,[129.359559216057 35.648714218408]
350,울산,온산,염포119안전센터,울산광역시 북구 염포로 769,052-229-8220,[129.399015603912 35.5264279914228]
351,울산,북부,강동119안전센터,울산광역시 북구 산하중앙2로 231 ,052-229-8280,[129.436772701423 35.6310028061008]
352,울산,북부,온산119안전센터,울산광역시 울주군 온산읍 덕신로 232,052-241-2860,[129.306633463856 35.4333845648914]
353,울산,북부,온양119안전센터,울산광역시 울주군 온양읍 온양로 74,052-241-2890,[129.279686190316 35.410864781411]
354,울산,북부,웅촌119안전센터,울산광역시 울주군 웅촌면 곡천검단로 9,052-241-2910,[129.206448429231 35.4634398139989]
355,울산,북부,화산119안전센터,울산광역시 울주군 온산읍 공단로 417,052-241-2840,[129.335212381319 35.4391202898825]
356,울산,울주,언양119안전센터,울산광역시 울주군 언양읍 남천둑길 99,052-241-2461,[129.135358521842 35.5588113105753]
357,울산,울주,범서119안전센터,울산광역시 울주군 범서읍 구영앞길 99,052-241-2501,[129.236260837646 35.5697616024895]
358,울산,울주,두서119안전센터,울산광역시 울주군 두서면 인보로 85,052-241-2551,[129.158888357141 35.6424359299989]
359,세종,조치원,조치원119안전센터,세종특별자치시 조치원읍 세종로 2439,044-300-8523,[127.288914218766 36.6047998641767]
360,세종,조치원,전의119안전센터,세종특별자치시 전의면 서정길 46-6,044-300-8533,[127.192342698227 36.6864835651022]
361,세종,조치원,부강119안전센터,세종특별자치시 부강면 청연로 7,044-300-8543,[127.37211917687 36.5283453242992]
362,세종,조치원,연서119안전센터,세종특별자치시 연서면 도신고복로 306,044-300-8553,[127.202303071461 36.5895635168403]
363,세종,세종,어진119안전센터,세종특별자치시 절재로 301(어진동),044-300-8623,[127.273670706878 36.5062711933573]
364,세종,세종,아름119안전센터,세종특별자치시 보듬3로 119(아름동),044-300-8633,[127.24664241317 36.5114201250681]
365,세종,세종,한솔119안전센터,세종특별자치시 노을3로 29(한솔동),044-300-8643,[127.259205055663 36.4805041088106]
366,세종,세종,보람119안전센터,세종특별자치시 남세종로 436(보람동),044-300-8653,[127.291369452805 36.4779283839499]
367,세종,세종,장군119안전센터,세종특별자치시 장군면 장척로 391,044-300-8664,[127.204294186359 36.4966110854925]
368,경기,수원,정자119안전센터,경기도 수원시 정자천로189번길 12,031-8012-9500,[126.995993076602 37.2971991256724]
369,경기,수원,원천119안전센터,경기도 수원시 영통구 중부대로 349,031-8012-9530,[127.054202938869 37.2731671592456]
370,경기,수원,파장119안전센터,경기도 수원시 장안구 서부로 2308,031-8012-9570,[126.979158725441 37.312384229078]
371,경기,수원,이의119안전센터,경기도 수원시 영통구 도청로 10,031-8012-9580,[127.055448351197 37.2866696524735]
372,경기,수원,영통119안전센터,경기도 수원시 영통구 매영로 325,031-8012-9140,[127.068832850913 37.2532212968554]
373,경기,수원남부,남부119안전센터,경기도 수원시 권선구 동수원로 286,031-639-8500,[127.036381693548 37.2547415387714]
374,경기,수원남부,매산119안전센터,경기도 수원시 팔달구 매산로 89,031-639-8520,[127.010674176609 37.2704984896655]
375,경기,수원남부,지만119안전센터,경기도 수원시 팔달구 경수대로 660,031-639-8530,[127.028680131585 37.2843119556419]
376,경기,수원남부,서둔119안전센터,경기도 수원시 권선구 서호동로 48,031-639-8540,[126.993384570387 37.2689455710514]
377,경기,수원남부,고색119안전센터,경기도 수원시 권선구 서부로 1614,031-639-8550,[126.97532182721 37.2532080967527]
378,경기,수원남부,호매실119안전센터,경기도 수원시 권선구 금곡로 194,031-639-8560,[126.951956384183 37.2732702851268]
379,경기,성남,수진119안전센터,경기도 성남시 수정구 제일로 111,031-720-0500,[127.133510891874 37.4366453961943]
380,경기,성남,신흥119안전센터,경기도 성남시 수정구 시민로 151,031-720-0510,[127.143268476109 37.4415522509298]
381,경기,성남,상대원119안전센터,경기도 성남시 중원구 둔촌대로 469,031-720-0530,[127.16900455194 37.4321495024829]
382,경기,성남,단대119안전센터,경기도 성남시 수정구 논골로 11번길 7-2,031-720-0520,[127.159564816335 37.4549335841352]
383,경기,성남,위례119안전센터,경기도 성남시 수정구 헌릉로 1003,031-720-0540,[127.143625302207 37.4619276808052]
384,경기,성남,태평119안전센터,경기도 성남시 수정구 성남대로 1312,031-720-0550,[127.127189319997 37.446859239286]
385,경기,분당,서현119안전센터,경기도 성남시 분당구 양현로 14,031-8018-3500,[127.119485991125 37.386039707594]
386,경기,분당,판교119안전센터,경기도 성남시 분당구 대왕판교로644번길 62,031-8018-3510,[127.113729043462 37.3995424240373]
387,경기,분당,서판교119안전센터,경기도 성남시 분당구 운중로 88,031-8018-3560,[127.072643544601 37.3912781032156]
388,경기,분당,수내119안전센터,경기도 성남시 분당구 백현로 241,031-8018-3520,[127.122594697553 37.3673527932452]
389,경기,분당,야탑119안전센터,경기도 성남시 분당구 양현로 485,031-8018-3530,[127.135949085891 37.4164671416142]
390,경기,분당,구미119안전센터,경기도 성남시 분당구 돌마로 138,031-8018-3550,[127.116516045543 37.3518938889055]
391,경기,부천,중앙119안전센터,경기도 부천시 신흥로 115 ,032-650-4500,[126.778035521764 37.4940412264581]
392,경기,부천,오정119안전센터,경기도 부천시 신흥로 499 ,032-650-4510,[126.777475664249 37.5277576759172]
393,경기,부천,중동119안전센터,경기도 부천시 부일로 346 ,032-650-4520,[126.768530283896 37.4877143241975]
394,경기,부천,괴안119안전센터,경기도 부천시 부광로8번길 49,032-650-4530,[126.810440093748 37.4827147084027]
395,경기,부천,원종119안전센터,경기도 부천시 원종로79번길 41 ,032-650-4540,[126.808502405233 37.5259780731203]
396,경기,부천,상동119안전센터,경기도 부천시 장말로 113 ,032-650-4550,[126.754495740347 37.4943022566557]
397,경기,부천,서부119안전센터,경기도 부천시 계남로 169 ,032-650-4560,[126.767776105783 37.5079076893328]
398,경기,부천,범박119안전센터,경기도 부천시 범안로 127,032-650-4570,[126.809426288878 37.4705466711072]
399,경기,부천,신상119안전센터,경기도 부천시 상동로117번길 36 ,032-650-4580,[126.751559934038 37.5081269769491]
400,경기,부천,여월119안전센터,경기도 부천시 여월로 62 ,032-650-4590,[126.805389715408 37.511369365853]
401,경기,안양,부림119안전센터,경기도 안양시 동안구 관평로212번길 32(관양동),031-470-0500,[126.960766351277 37.3959727363031]
402,경기,안양,안양119안전센터,경기도 안양시 만안구 현충로 55(안양동),031-470-0510,[126.925588860518 37.3903267857071]
403,경기,안양,관양119안전센터,경기도 안양시 동안구 동편로13번길 6(관양동),031-470-0530,[126.971580863499 37.4066453623605]
404,경기,안양,석수119안전센터,경기도 안양시 만안구 석수로 28(석수동),031-470-0540,[126.909249197122 37.4089925526693]
405,경기,안양,귀인119안전센터,경기도 안양시 동안구 평촌대로 104(평촌동),031-470-0550,[126.961499873535 37.3817977223212]
406,경기,안양,박달119안전센터,경기도 안양시 만안구 오리로 38(박달동),031-470-0560,[126.884777390079 37.4079221793162]
407,경기,안산,고잔119안전센터,경기도 안산시 단원구 화랑로 407,031-470-7500,[126.832958805798 37.3217355969893]
408,경기,안산,원시119안전센터,경기도 안산시 단원구 동산로 31,031-470-7510,[126.793593313585 37.3129658104123]
410,경기,안산,성곡119안전센터,경기도 안산시 단원구 장자골로 66,031-470-7540,[126.765526044663 37.3126852956175]
411,경기,안산,월피119안전센터,경기도 안산시 상록구 충장로 645,031-470-7550,[126.854451438203 37.335035369418]
412,경기,안산,군자119안전센터,경기도 안산시 단원구 번영1로 45,031-470-7560,[126.735823119242 37.319899446982]
413,경기,안산,사동119안전센터,경기도 안산시 상록구 항가울로 230,031-470-7570,[126.843649279599 37.300852612644]
414,경기,안산,대부119안전센터,경기도 안산시 단원구 영전로 375,031-470-7580,[126.617851099938 37.2402702028901]
415,경기,안산,반월119안전센터,경기도 안산시 상록구 건지미길 48,031-470-7590,[126.905538102688 37.3030077823494]
416,경기,안산,신길119안전센터,경기도 안산시 단원구 삼일로 50,031-470-7480,[126.783640867463 37.3350487087865]
417,경기,용인,역북119안전센터,경기도 용인시 처인구 명지로 45,031-8021-0500,[127.189884611282 37.2321556319159]
418,경기,용인,구갈119안전센터,경기도 용인시 기흥구 신구로 74,031-8021-0510,[127.109867687126 37.2789266876168]
419,경기,용인,수지119안전센터,경기도 용인시 수지구 풍덕천로 177,031-8021-0520,[127.100155394608 37.3260498412624]
420,경기,용인,양지119안전센터,경기도 용인시 처인구 양지면 남평로 46,031-8021-0530,[127.288921879735 37.2300889185434]
421,경기,용인,남사119안전센터,경기도 용인시 처인구 남사면 봉무로 13,031-8021-0540,[127.15226588343 37.1154285519964]
422,경기,용인,포곡119안전센터,경기도 용인시 처인구 포곡읍 포곡로 252,031-8021-0550,[127.230035112665 37.2776622890736]
423,경기,용인,이동119안전센터,경기도 용인시 처인구 이동면 백옥대로 416-2,031-8021-0560,[127.204263956227 37.1744704589177]
424,경기,용인,보정119안전센터,경기도 용인시 기흥구 보정로114번길 2,031-8021-0570,[127.115852904973 37.3196817006967]
425,경기,용인,백암119안전센터,경기도 용인시 처인구 백암면 백암로 247,031-8021-0580,[127.371362882119 37.1677158778686]
426,경기,용인,동백119안전센터,경기도 용인시 기흥구 동백6로 33,031-8021-0590,[127.155212968898 37.277723668565]
427,경기,용인,모현119안전센터,경기도 용인시 처인구 모현면 독점로 31-12,031-8021-0140,[127.241566290682 37.3292087399888]
428,경기,용인,기흥119안전센터,경기도 용인시 기흥구 한보라1로 128,031-8021-0150,[127.105914035643 37.2450204739035]
429,경기,평택,비전119안전센터,경기도 평택시 중앙로 273,031-8053-6500,[127.112846579541 36.9904544831465]
430,경기,평택,안중119안전센터,경기도 평택시 안중읍 안현로서7길 28,031-8053-6530,[126.92442361996 36.9818397799278]
432,경기,평택,포승119안전센터,경기도 평택시 포승읍 평택항로 156번길 11,031-8053-6540,[126.845441314086 36.9738585510612]
433,경기,송탄,신장119안전센터,경기도 평택시 경기대로 1627(신장동),031-685-8500,[127.062222203127 37.0896975029585]
434,경기,송탄,진위119안전센터,경기도 평택시 진위면 봉남길 30,031-685-8510,[127.087332319574 37.1009275346029]
435,경기,송탄,모곡119안전센터,경기도 평택시 산단로64번길 2 (모곡동),031-685-8520,[127.077065708167 37.0368089834677]
436,경기,송탄,서탄119안전센터,경기도 평택시 서탄면 서탄로 241,031-685-8530,[127.03710146001 37.1058403737273]
438,경기,송탄,청북119안전센터,경기도 평택시 청북면 현곡산단로 16,031-685-8550,[126.939209985828 37.0337297267315]
439,경기,광명,소하119안전센터,경기도 광명시 금하로 472,02-2610-3500,[126.885215428438 37.4486869393606]
441,경기,광명,하안119안전센터,경기도 광명시 범안로 1025,02-2610-3520,[126.877094070067 37.4615077485066]
442,경기,광명,광남119안전센터,경기도 광명시 목감로 34,02-2610-3530,[126.845605135979 37.4714777854294]
443,경기,시흥,시흥119안전센터,경기도 시흥시 정왕신길로 206,031-310-0500,[126.739531631495 37.349561429997]
444,경기,시흥,은행119안전센터,경기도 시흥시 대은로 4,031-310-0510,[126.793289026629 37.4393655399614]
445,경기,시흥,정왕119안전센터,경기도 공단1대로259번길 1,031-310-0520,[126.729716964601 37.3355707834922]
446,경기,시흥,연성119안전센터,경기도 시흥시 새재로 29,031-310-0530,[126.802937551443 37.381903084479]
447,경기,군포,오금119안전센터,경기도 군포시 고산로 429,031-479-8500,[126.927119503192 37.3525682799092]
448,경기,군포,산본119안전센터,경기도 군포시 산본로432번길 1,031-479-8510,[126.927271726196 37.368280216661]
449,경기,화성,향남119안전센터,경기도 화성시 향남읍 향남로 399 ,031-8012-6500,[126.920621081185 37.1310105683569]
450,경기,화성,정남119안전센터,경기도 화성시 정남면 정남동로 514,031-8012-6520,[127.00228093467 37.1650970946765]
451,경기,화성,반송119안전센터,경기도 화성시 동탄반석로 188,031-8012-6530,[127.072089494276 37.2054620517204]
452,경기,화성,목동119안전센터,경기도 화성시 동탄신리천로 359,031-8012-6460,[127.118212354055 37.1837999313775]
453,경기,화성,태안119안전센터,경기도 화성시 병점중앙로 148,031-8012-6580,[127.038996719416 37.2111789656722]
454,경기,화성,남양119안전센터,경기도 화성시 남양읍 남양시장로 48,031-8012-6550,[126.814669889363 37.2087221851313]
455,경기,화성,봉담119안전센터,경기도 화성시 봉담읍 동화새터길 135,031-8012-6560,[126.962891671273 37.2150247125758]
456,경기,화성,장안119안전센터,경기도 화성시 장안면 3.1만세로 119,031-8012-6570,[126.826112766551 37.0863476379114]
457,경기,이천,관고119안전센터,경기도 이천시 경충대로 2739,031-645-5500,[127.431582019057 37.2820570899899]
458,경기,이천,대월119안전센터,경기도 이천시 경충대로 1973,031-645-5510,[127.497398274234 37.2435670875158]
459,경기,이천,장호원119안전센터,경기도 이천시 서동대로 8829번길 71,031-645-5520,[127.614731641638 37.1170767191171]
460,경기,이천,마장119안전센터,경기도 이천시 마장면 중앙로 87,031-645-5530,[127.357833692897 37.2493756786865]
461,경기,김포,중앙119안전센터,경기도 김포시 감암로 111,031-980-4500,[126.7085359654 37.6415655279945]
463,경기,김포,마산119안전센터,경기도 김포시 김포한강8로 196,031-980-4570,[126.644319128034 37.6396597030133]
464,경기,김포,대곶119안전센터,경기도 김포시 대곶면 수남로 104,031-980-4560,[126.582481793136 37.633475202913]
465,경기,김포,통진119안전센터,경기도 김포시 통진읍 김포대로 2250,031-980-4520,[126.596328841226 37.6906614612924]
466,경기,김포,고촌119안전센터,경기도 김포시 고촌읍 은행영사정로 31,031-980-4530,[126.773758886841 37.6023740300638]
467,경기,김포,하성119안전센터,경기도 김포시 하성면 하성로 404,031-980-4540,[126.637666084616 37.7112774859604]
468,경기,광주,초월119안전센터,경기도 광주시 초월읍 무들로 112 광주소방서,031-799-2500,[127.299505970502 37.3855769959122]
469,경기,광주,송정119안전센터,경기도 광주시 수하길 36,031-799-2510,[127.264400372608 37.414802257586]
470,경기,광주,오포119안전센터,경기도 광주시 오포읍 오포로 910-5,031-799-2520,[127.233545285538 37.3714195780178]
